20250430	19:35:39	6d0e0fbc-cbb1-44d2-a6fc-39c1c69caebe	/	GET
20250430	19:35:39	0508bca1-a2f9-4a2b-9ba6-57bc82b3d945	/css/style.css	GET
20250430	19:35:39	d9f985d5-70b1-4924-9bb9-81ddab8af01f	/favicon.ico	GET
20250430	19:35:39	cafb925b-7893-4d5f-8498-7844a4663ab8	/apple-touch-icon-precomposed.png	GET
20250430	19:35:39	5e6caa75-1140-4fc7-a1a3-5c4ac7a91d66	/apple-touch-icon.png	GET
20250430	19:36:00	b8ef5641-6a6a-4e33-a49e-67613662539c	/home	GET
20250430	19:36:00	ebb5598d-ebf6-4331-8080-cb1f995e2f5b	/css/style.css	GET
20250430	19:36:07	0ec13cbe-482b-443f-bd76-e068ec1029ea	/index	GET
20250430	19:36:07	e548e128-a61b-46d5-94c0-01171ebcb991	/css/style.css	GET
20250430	19:36:27	a93bed5e-32e3-4ac7-a5fb-903181664d32	/new-page.html	GET
20250430	19:36:27	03cc6d86-c6d1-4f8e-9c26-ee9b29b5afbb	/css/style.css	GET
20250430	19:36:27	f36eb757-88bb-4af5-afd5-6814fbebb97e	/img/img1.jpg	GET
20250430	23:02:06	34e7a6ae-9bac-4449-8a2e-7910ab7c4353	GET	undefined	/index
20250430	23:02:06	01c71acf-f108-4dc0-8eeb-5ad459a90f42	GET	undefined	/css/style.css
20250430	23:03:43	7eb4e9db-ae6f-4b28-969a-6c83996616f7	GET	undefined	/index
20250430	23:03:43	523c3222-2cdc-4915-86c3-30ef7121f832	GET	undefined	/css/style.css
20250430	23:04:45	2193d12a-743e-4b7d-af1f-80c0ad908574	GET	undefined	/
20250430	23:04:45	807ed9da-cb7a-48d6-8fe3-52d330340953	GET	undefined	/css/style.css
20250430	23:04:45	d3202277-4337-40d8-9c7f-2d0aaeb7d627	GET	undefined	/favicon.ico
20250430	23:05:28	b10332e7-e0bb-45ee-aa65-9c8b7dd1a4eb	OPTIONS	https://www.google.com	/
20250430	23:05:28	6642f3e7-ac1e-48d7-becf-4292785ce193	GET	https://www.google.com	/
20250430	23:06:50	244a2335-05d2-475c-aa8f-42856752e885	OPTIONS	https://www.google.com	/
20250430	23:06:50	df2320a5-067f-418a-897c-485f43156a09	GET	https://www.google.com	/
20250430	23:10:26	f3e0570c-775b-4221-b6c3-eb87d41284c3	OPTIONS	https://www.google.com	/
20250430	23:10:26	1701556a-6470-4f75-b650-4daa2fa9e75e	GET	https://www.google.com	/
20250430	23:10:49	9909f7f4-4cc3-4e6d-a49a-2e60e1f619cf	OPTIONS	https://www.google.com	/
20250430	23:10:49	a371ff36-03dc-42c3-b4d0-c7b0730422a6	GET	https://www.google.com	/
20250430	23:11:42	2238f9ff-9379-4c18-b428-f4989b96d5a7	OPTIONS	https://www.google.com	/
20250430	23:11:42	8f14938d-f644-498b-bf4d-9b377fa34573	GET	https://www.google.com	/
20250430	23:13:03	8dab8a62-bced-4b8b-a712-910e35f7b7c2	GET	undefined	/
20250430	23:13:24	d745b959-6012-44a5-ac35-5a8d2610156d	GET	undefined	/
20250430	23:13:24	0f50e621-5546-401f-8620-4cf67e13f9a6	GET	undefined	/css/style.css
20250430	23:16:55	de659d52-6c4f-446b-8a22-0a7c38f8642f	GET	undefined	/index
20250430	23:17:22	d94accd1-cea8-445a-a1b3-3b388a28f062	GET	undefined	/
20250430	23:17:22	f64ef5b8-1b44-4966-9e77-56e7686b81ac	GET	undefined	/css/style.css
20250430	23:17:27	1601625a-3542-4eda-be2f-9dc05daa9113	GET	undefined	/index
20250430	23:17:27	41a9a625-ca9f-4911-bf7a-5ceb177b0228	GET	undefined	/css/style.css
20250430	23:18:20	e47066a9-05dd-4bd0-b7ce-beaf38a5fe85	GET	undefined	/index/date
20250430	23:18:20	2ed7be03-dfe4-4664-8874-f2dc7b9a43ec	GET	undefined	/index/css/style.css
20250430	23:20:15	9fc45239-5452-4aa2-bd4a-9d6faf56a2c6	GET	undefined	/index/dave
20250430	23:20:15	ca924995-81e2-4419-ad3e-8508926da88f	GET	undefined	/index/css/style.css
20250430	23:30:12	8cbcb10c-6b78-42f5-b5e7-dfe9718d62c4	GET	undefined	/subdir
20250430	23:30:12	691552d0-5341-4757-8049-5be0d641ec8c	GET	undefined	/subdir/
20250430	23:30:16	c348c92c-1e63-4e17-86a9-38add363830f	GET	undefined	/subdir/dave
20250430	23:36:04	673cdffa-c961-4d41-a193-61d9d45f8bdf	GET	undefined	/
20250430	23:36:04	5503a0c6-83e5-4db0-abd2-1216114d0907	GET	undefined	/css/style.css
20250430	23:36:10	c7e480e6-69a8-4d98-84fe-c637c674c787	GET	undefined	/new-page
20250430	23:36:10	f6442f4d-ef85-43b3-a1d9-252ad19fc12a	GET	undefined	/css/style.css
20250430	23:36:10	d8d44ea8-de75-451b-8900-cc8278196f57	GET	undefined	/img/img1.jpg
20250430	23:36:17	2ab24749-ae08-477e-963d-cc0e5833ca4a	GET	undefined	/old-page
20250430	23:36:17	7120ae8f-5e08-42f7-9a67-6e4f0821b4ef	GET	undefined	/new-page.html
20250430	23:36:17	1afddfb8-2fe3-4e9f-9ae2-5733e0a3d9d5	GET	undefined	/css/style.css
20250430	23:36:17	51d28be2-111a-463c-9ec7-868edf998ffe	GET	undefined	/img/img1.jpg
20250430	23:36:20	24dc7f5b-56e3-4e88-9901-5c73d5b7977b	GET	undefined	/index
